project,TARGET_CLASS,test-name,cohesion,coupling
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.0,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.0,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.client.session.Session,test0,0.5,0.0
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test00,0.5,0.4287185175173035
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test01,0.7297709653582185,0.3013701915004365
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test02,0.5,0.21124967531367572
102_squirrel-sql,net.sourceforge.squirrel_sql.plugins.dbcopy.util.DBUtil,test03,0.0,0.2845929036060439
