project,test-suite,test-method,production-class,isEagerTest
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test25,macaw.businessLayer.Variable,0.043478260869565216
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test26,macaw.businessLayer.Variable,0.057971014492753624
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test0,macaw.businessLayer.SupportingDocument,0.2
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test1,macaw.businessLayer.SupportingDocument,0.65
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test2,macaw.businessLayer.SupportingDocument,0.5
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test3,macaw.businessLayer.SupportingDocument,0.3
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test4,macaw.businessLayer.SupportingDocument,0.4
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test5,macaw.businessLayer.SupportingDocument,0.2
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test6,macaw.businessLayer.SupportingDocument,0.6
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test7,macaw.businessLayer.SupportingDocument,0.25
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test8,macaw.businessLayer.SupportingDocument,0.65
69_lhamacaw,macaw.businessLayer.SupportingDocument_ESTest,test9,macaw.businessLayer.SupportingDocument,0.2
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test00,macaw.businessLayer.Variable,0.17391304347826086
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test01,macaw.businessLayer.Variable,0.028985507246376812
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test02,macaw.businessLayer.Variable,0.17391304347826086
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test03,macaw.businessLayer.Variable,0.08695652173913043
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test04,macaw.businessLayer.Variable,0.21739130434782608
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test05,macaw.businessLayer.Variable,0.10144927536231885
69_lhamacaw,macaw.businessLayer.Variable_ESTest,test06,macaw.businessLayer.Variable,0.14492753623188406
