TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
Services,BRANCH,MOSA,15,8,11,11,3041,2579235,159560,159561,244400,6,6,15,15,1027,0.7333333333333333,0.7884764550861522
Services,BRANCH,MOSA,15,8,11,11,3041,2308019,159931,159932,219829,7,7,16,16,1003,0.7333333333333333,0.6358688809910815
Services,BRANCH,MOSA,15,8,11,11,3041,2631649,159271,159272,201236,6,6,15,15,1028,0.7333333333333333,0.7884764550861522
Services,BRANCH,MOSA,15,8,11,11,3041,2761875,159674,159675,270075,7,7,16,16,1011,0.7333333333333333,0.7510707674325402
Services,BRANCH,MOSA,15,8,11,11,3041,2656741,158909,158910,261965,7,7,16,16,1012,0.7333333333333333,0.7429803371089498
Services,BRANCH,MOSA,15,8,11,11,3041,3038879,152047,152048,266162,7,7,16,16,1016,0.7333333333333333,0.6520497416382623
Services,BRANCH,MOSA,15,8,11,11,3041,2077948,159744,159745,268370,7,7,15,15,1017,0.7333333333333333,0.808994354305135
Services,BRANCH,MOSA,15,8,11,11,3041,2703222,158310,158311,215008,7,7,16,16,1029,0.7333333333333333,0.7510707674325402
Services,BRANCH,MOSA,15,8,11,11,3041,1988291,160123,160124,211905,6,6,16,16,1000,0.7333333333333333,0.9827545386129932
Services,BRANCH,MOSA,15,8,11,11,3041,2523662,157971,157972,217013,7,7,16,16,1009,0.7333333333333333,0.808994354305135
Services,BRANCH,MOSA,15,8,11,11,3041,2753668,159269,159270,266890,7,7,15,15,1013,0.7333333333333333,0.7429803371089498
Services,BRANCH,MOSA,15,8,11,11,3041,2644609,158732,158733,205977,7,7,15,15,1025,0.7333333333333333,0.808994354305135
Services,BRANCH,MOSA,15,8,11,11,3041,2988232,155582,155583,236437,7,7,16,16,1024,0.7333333333333333,0.7510707674325402
Services,BRANCH,MOSA,15,8,11,11,3041,2558650,159588,159589,258628,6,6,15,15,1020,0.7333333333333333,0.7979152904636743
Services,BRANCH,MOSA,15,8,11,11,3041,2690902,159782,159783,236139,7,7,15,15,1005,0.7333333333333333,0.7510707674325402
