TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2543916,158994,159125,241132,7,7,15,15,1018,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2800245,158373,158435,218938,7,7,16,16,1028,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2478101,158630,158672,248950,7,7,15,15,1012,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2605005,158488,158536,265365,7,7,15,15,1002,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2590591,159403,159465,213391,7,7,15,15,1024,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2508725,159436,159530,237054,7,7,15,15,1026,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2554916,159171,159264,238183,7,7,17,17,1029,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2651171,158147,158228,318598,7,7,19,19,1004,0.7333333333333333,0.6520497416382623
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2562010,158674,158724,237715,7,7,15,15,1017,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2355055,159497,159566,200068,7,7,15,15,1013,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2494929,159586,159666,237462,7,7,15,15,1014,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2529497,159429,159499,243036,7,7,15,15,1000,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2654830,159143,159273,275220,7,7,15,15,1010,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2652745,159029,159112,235292,7,7,16,16,1007,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2366406,159692,159784,254711,7,7,16,16,1008,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2174107,159616,159668,229437,7,7,16,16,1011,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2599152,158981,159101,250857,7,7,15,15,1025,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2529107,159419,159513,249309,7,7,15,15,1003,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2264083,159750,159798,223344,7,7,15,15,1027,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2681831,159543,159643,262702,7,7,17,17,1001,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2676370,158228,158256,269538,7,7,15,15,1006,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2506036,158938,159050,221271,7,7,16,16,1009,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2363547,159644,159666,252429,7,7,15,15,1023,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2764592,157724,157742,239309,7,7,16,16,1019,0.7333333333333333,0.5941261547656673
Services,BRANCH,ReadableMOSA,15,8,11,11,3041,2256276,159454,159485,170344,7,7,15,15,1020,0.7333333333333333,0.5941261547656673
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,173,412,448203,20209,35627,412685,56,56,613,613,1026,0.8317307692307693,2.835126531944556
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,178,412,307716,20415,29161,391010,55,55,574,574,1002,0.8557692307692307,2.835623198072556
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,172,412,350204,20083,23833,348968,54,54,624,624,1021,0.8269230769230769,2.8743492795408625
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,173,412,352771,20831,28033,334957,54,54,617,617,1001,0.8317307692307693,2.8037958964119927
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,180,412,337559,20758,29399,448864,59,59,583,583,1017,0.8653846153846154,2.878732495771051
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,178,412,404359,20518,23978,405229,50,50,679,679,1028,0.8557692307692307,2.8482125335553645
accessories.plugins.time.JDayChooser,BRANCH,ReadableMOSA,208,170,61,179,412,325462,20719,23123,395661,51,51,625,625,1025,0.8605769230769231,2.8254431416179164
